INSOLE EDGES
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0205.89,Y0247.13,X0204.81,Y 0286.10
X0205.89,Y0247.13,X0239.21,Y 0223.85
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0244.46,Y0223.79,X0239.21,Y 0223.85
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0214.73,Y0048.67,X0250.03,Y 0031.24
X0214.73,Y0048.67,X0192.00,Y 0024.14
X0203.43,Y0203.19,X0239.21,Y 0223.85
X0172.24,Y0226.10,X0205.89,Y 0247.13
X0172.05,Y0221.71,X0203.43,Y 0203.19
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0170.64,Y0081.28,X0165.36,Y 0080.07
X0211.14,Y0070.17,X0214.73,Y 0048.67
X0211.14,Y0070.17,X0170.64,Y 0081.28
X0242.84,Y0092.30,X0256.62,Y 0093.16
X0242.84,Y0092.30,X0211.14,Y 0070.17
X0204.23,Y0119.81,X0170.64,Y 0081.28
X0204.23,Y0119.81,X0242.84,Y 0092.30
X0238.80,Y0159.79,X0242.97,Y 0160.07
X0203.93,Y0183.99,X0203.43,Y 0203.19
X0203.93,Y0183.99,X0238.80,Y 0159.79
X0000.04,Y0000.07,X0000.04,Y 0000.07
X0168.14,Y0159.55,X0203.93,Y 0183.99
X0202.24,Y0134.48,X0204.23,Y 0119.81
X0202.24,Y0134.48,X0238.80,Y 0159.79
X0202.24,Y0134.48,X0167.55,Y 0153.66
;CONTOUR EDGES
X0173.57,Y0258.59,X0177.45,Y 0270.23
X0177.45,Y0270.23,X0185.21,Y 0279.05
X0185.21,Y0279.05,X0196.14,Y 0285.04
X0196.14,Y0285.04,X0207.79,Y 0286.46
X0207.79,Y0286.46,X0219.78,Y 0285.04
X0219.78,Y0285.04,X0231.77,Y 0279.40
X0231.77,Y0279.40,X0239.18,Y 0270.23
X0239.18,Y0270.23,X0244.12,Y 0259.29
X0244.12,Y0259.29,X0245.89,Y 0242.01
X0245.89,Y0242.01,X0244.12,Y 0219.43
X0244.12,Y0219.43,X0241.30,Y 0189.09
X0241.30,Y0189.09,X0241.30,Y 0172.86
X0241.30,Y0172.86,X0243.42,Y 0156.63
X0243.42,Y0156.63,X0248.00,Y 0133.70
X0248.00,Y0133.70,X0254.71,Y 0107.60
X0254.71,Y0107.60,X0257.88,Y 0083.61
X0257.88,Y0083.61,X0256.82,Y 0057.50
X0256.82,Y0057.50,X0253.65,Y 0039.86
X0253.65,Y0039.86,X0249.06,Y 0028.93
X0249.06,Y0028.93,X0242.71,Y 0018.34
X0242.71,Y0018.34,X0236.01,Y 0012.70
X0236.01,Y0012.70,X0225.78,Y 0008.47
X0225.78,Y0008.47,X0218.72,Y 0007.41
X0218.72,Y0007.41,X0209.90,Y 0009.52
X0209.90,Y0009.52,X0199.32,Y 0016.23
X0199.32,Y0016.23,X0186.27,Y 0030.34
X0186.27,Y0030.34,X0176.39,Y 0047.27
X0176.39,Y0047.27,X0168.27,Y 0064.91
X0168.27,Y0064.91,X0164.75,Y 0083.26
X0164.75,Y0083.26,X0164.39,Y 0108.30
X0164.39,Y0108.30,X0165.45,Y 0132.64
X0165.45,Y0132.64,X0168.63,Y 0164.39
X0168.63,Y0164.39,X0170.74,Y 0193.32
X0170.74,Y0193.32,X0172.16,Y 0224.01
X0172.16,Y0224.01,X0173.57,Y 0258.59
